#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120  28
# Band-Index    1
   2.68975    -13.485392    -13.489999
   2.62551    -13.507139    -13.511270
   2.56127    -13.528582    -13.532505
   2.49703    -13.547566    -13.551359
   2.43279    -13.562478    -13.566120
   2.36855    -13.572555    -13.575989
   2.30431    -13.578067    -13.581247
   2.24007    -13.580185    -13.583097
   2.17583    -13.580569    -13.583229
   2.11159    -13.580648    -13.583082
   2.04735    -13.581284    -13.583516
   1.98311    -13.582684    -13.584737
   1.91887    -13.584493    -13.586394
   1.85463    -13.586307    -13.588090
   1.79039    -13.587601    -13.589310
   1.72615    -13.588067    -13.589751
   1.72615    -13.588067    -13.589751
   1.68072    -13.587833    -13.589529
   1.63530    -13.587206    -13.588942
   1.58987    -13.586375    -13.588178
   1.54445    -13.585672    -13.587573
   1.49902    -13.585490    -13.587517
   1.45360    -13.586179    -13.588359
   1.40817    -13.588066    -13.590413
   1.36275    -13.591323    -13.593839
   1.31732    -13.595942    -13.598612
   1.27190    -13.601707    -13.604507
   1.22647    -13.608364    -13.611263
   1.18105    -13.615478    -13.618443
   1.13562    -13.622630    -13.625634
   1.09020    -13.629445    -13.632466
   1.04477    -13.635537    -13.638562
   0.99935    -13.640589    -13.643610
   0.95392    -13.644391    -13.647405
   0.90850    -13.646743    -13.649751
   0.86307    -13.647526    -13.650531
   0.86307    -13.647526    -13.650531
   0.81765    -13.645956    -13.648902
   0.77222    -13.641252    -13.644021
   0.72680    -13.633570    -13.636052
   0.68137    -13.623136    -13.625233
   0.63595    -13.610270    -13.611898
   0.59052    -13.595331    -13.596427
   0.54510    -13.578759    -13.579276
   0.49967    -13.561026    -13.560937
   0.45425    -13.542599    -13.541894
   0.40882    -13.524043    -13.522733
   0.36340    -13.505833    -13.503946
   0.31797    -13.488498    -13.488082
   0.27255    -13.472422    -13.479019
   0.22712    -13.463379    -13.470870
   0.18170    -13.456202    -13.463850
   0.13627    -13.450344    -13.458118
   0.09085    -13.446052    -13.453920
   0.04542    -13.443447    -13.451373
   0.00000    -13.442587    -13.450533
 
# Band-Index    5
   0.00000    -13.442587    -13.450533
   0.04542    -13.443447    -13.451373
   0.09085    -13.446051    -13.453919
   0.13627    -13.450344    -13.458118
   0.18170    -13.456202    -13.463850
   0.22712    -13.463379    -13.470870
   0.27255    -13.471708    -13.479019
   0.31797    -13.480969    -13.488082
   0.36340    -13.490841    -13.497742
   0.40882    -13.501117    -13.507800
   0.45425    -13.511488    -13.517952
   0.49967    -13.521659    -13.527910
   0.54510    -13.531372    -13.537420
   0.59052    -13.540359    -13.546222
   0.63595    -13.548388    -13.554085
   0.68137    -13.555233    -13.560789
   0.72680    -13.560767    -13.566210
   0.77222    -13.564816    -13.570177
   0.81765    -13.567285    -13.572596
   0.86307    -13.568090    -13.573384
   0.86307    -13.568090    -13.573384
   0.90850    -13.568045    -13.573330
   0.95392    -13.567840    -13.573101
   0.99935    -13.567503    -13.572723
   1.04477    -13.567048    -13.572213
   1.09020    -13.566477    -13.571573
   1.13562    -13.565813    -13.570830
   1.18105    -13.565086    -13.570014
   1.22647    -13.564290    -13.569122
   1.27190    -13.563458    -13.568191
   1.31732    -13.562635    -13.567266
   1.36275    -13.561805    -13.566335
   1.40817    -13.560996    -13.565430
   1.45360    -13.560255    -13.564600
   1.49902    -13.559598    -13.563863
   1.54445    -13.559028    -13.563223
   1.58987    -13.558590    -13.562729
   1.63530    -13.558242    -13.562339
   1.68072    -13.558034    -13.562106
   1.72615    -13.557965    -13.562028
   1.72615    -13.557965    -13.562028
   1.79039    -13.557271    -13.561377
   1.85463    -13.555163    -13.559395
   1.91887    -13.551650    -13.556083
   1.98311    -13.546918    -13.551616
   2.04735    -13.540963    -13.545979
   2.11159    -13.533944    -13.539310
   2.17583    -13.526016    -13.531750
   2.24007    -13.517303    -13.523405
   2.30431    -13.508085    -13.514539
   2.36855    -13.498576    -13.505356
   2.43279    -13.489043    -13.496110
   2.49703    -13.479715    -13.487027
   2.56127    -13.470886    -13.478396
   2.62551    -13.462876    -13.470540
   2.68975    -13.455905    -13.463684
   2.75399    -13.450251    -13.458109
   2.81823    -13.446013    -13.453921
   2.88247    -13.443443    -13.451379
   2.94671    -13.442587    -13.450533
   2.94671    -13.442587    -13.450533
   3.02539    -13.444456    -13.452271
   3.10407    -13.452096    -13.458980
   3.18275    -13.466625    -13.472295
   3.26143    -13.485426    -13.490473
   3.34010    -13.505238    -13.510096
   3.41878    -13.522948    -13.527763
   3.49746    -13.535954    -13.540705
   3.57614    -13.542051    -13.546647
   3.65482    -13.539966    -13.544320
   3.73350    -13.529270    -13.533358
   3.81217    -13.510558    -13.514459
   3.89085    -13.485507    -13.489424
   3.96953    -13.456966    -13.461204
   4.04821    -13.428245    -13.433105
   4.12689    -13.402798    -13.408413
   4.20556    -13.382894    -13.389160
   4.28424    -13.369207    -13.375896
   4.36292    -13.361379    -13.368285
   4.44160    -13.358829    -13.365800
   4.44160    -13.358829    -13.365800
   4.50584    -13.359797    -13.366742
   4.57008    -13.362907    -13.369750
   4.63432    -13.368956    -13.375535
   4.69856    -13.379542    -13.385524
   4.76280    -13.396566    -13.401513
   4.82704    -13.419949    -13.423824
   4.89128    -13.445944    -13.449252
   4.95552    -13.469795    -13.473095
   5.01976    -13.487989    -13.491633
   5.08400    -13.498718    -13.502885
   5.14824    -13.501539    -13.506308
   5.21249    -13.497263    -13.502661
   5.27673    -13.512211    -13.515183
   5.34097    -13.529338    -13.532967
   5.40521    -13.543351    -13.547551
   5.46945    -13.554222    -13.558887
   5.53369    -13.561948    -13.566959
   5.59793    -13.566575    -13.571798
   5.66217    -13.568090    -13.573384
   5.66217    -13.358829    -13.365800
   5.70759    -13.358933    -13.365901
   5.75302    -13.359243    -13.366199
   5.79844    -13.359730    -13.366669
   5.84387    -13.360422    -13.367336
   5.88929    -13.361277    -13.368162
   5.93472    -13.362229    -13.369079
   5.98014    -13.363341    -13.370152
   6.02557    -13.364535    -13.371305
   6.07099    -13.378147    -13.377403
   6.11642    -13.406779    -13.406705
   6.16184    -13.434524    -13.435135
   6.20727    -13.460771    -13.462061
   6.25269    -13.484866    -13.486806
   6.29812    -13.506189    -13.508725
   6.34354    -13.524290    -13.527348
   6.38897    -13.538823    -13.542308
   6.43439    -13.549394    -13.553197
   6.47982    -13.555806    -13.559803
   6.52524    -13.557965    -13.562028
 
# Band-Index    6
   6.52524    -13.557965    -13.562028
   6.47982    -13.555806    -13.559803
   6.43439    -13.549394    -13.553197
   6.38897    -13.538823    -13.542308
   6.34354    -13.524290    -13.527348
   6.29812    -13.506189    -13.508725
   6.25269    -13.484866    -13.486806
   6.20727    -13.460771    -13.462061
   6.16184    -13.434524    -13.435135
   6.11642    -13.406779    -13.406705
   6.07099    -13.378147    -13.377403
   6.02557    -13.349398    -13.348023
   5.98014    -13.321405    -13.319448
   5.93472    -13.294947    -13.292474
   5.88929    -13.270915    -13.268004
   5.84387    -13.249944    -13.246671
   5.79844    -13.232806    -13.229253
   5.75302    -13.220139    -13.216387
   5.70759    -13.212370    -13.208505
   5.66217    -13.209734    -13.205830
   5.66217    -13.568090    -13.573384
   5.59793    -13.565236    -13.570361
   5.53369    -13.556710    -13.561343
   5.46945    -13.542896    -13.546761
   5.40521    -13.524359    -13.527249
   5.34097    -13.501846    -13.503636
   5.27673    -13.487634    -13.493668
   5.21249    -13.491974    -13.494224
   5.14824    -13.468835    -13.470319
   5.08400    -13.442981    -13.443681
   5.01976    -13.414897    -13.414821
   4.95552    -13.384971    -13.384143
   4.89128    -13.354087    -13.352562
   4.82704    -13.323222    -13.321071
   4.76280    -13.298487    -13.298093
   4.69856    -13.276215    -13.274228
   4.63432    -13.251530    -13.248520
   4.57008    -13.229698    -13.226138
   4.50584    -13.214952    -13.211128
   4.44160    -13.209734    -13.205830
   4.44160    -13.209734    -13.205830
   4.36292    -13.217077    -13.213291
   4.28424    -13.238098    -13.234655
   4.20556    -13.270272    -13.267397
