     #Energy   up_In_all   dw_In_all   up_Fe_all   dw_Fe_all    up_O_all    dw_O_all
   -17.14656     1.06681    -1.06083     0.00000    -0.00000     0.05993    -0.05969
   -17.07056     1.56631    -1.56020     0.00000    -0.00000     0.07808    -0.07787
   -16.99456     1.99165    -1.98593     0.00000    -0.00000     0.08777    -0.08768
   -16.91756     2.37947    -2.37227     0.00000    -0.00000     0.08531    -0.08534
   -16.84156     2.98534    -2.97244     0.00000    -0.00000     0.07275    -0.07290
   -16.76556     4.08961    -4.06912     0.00000    -0.00000     0.05634    -0.05652
   -16.68856     5.62922    -5.60563     0.00000    -0.00000     0.04209    -0.04223
   -16.61256     7.02263    -7.00804     0.00000    -0.00000     0.03261    -0.03268
   -16.53556     7.47944    -7.48344     0.00000    -0.00000     0.02712    -0.02715
   -16.45956     6.61421    -6.63641     0.00000    -0.00000     0.02355    -0.02358
   -16.38356     4.79110    -4.81970     0.00000    -0.00000     0.02053    -0.02056
   -16.30656     2.82511    -2.84951     0.00000    -0.00000     0.01785    -0.01788
   -16.23056     1.35697    -1.37143     0.00000    -0.00000     0.01574    -0.01577
   -16.15456     0.54022    -0.54672     0.00000    -0.00000     0.01449    -0.01450
   -16.07756     0.19331    -0.19548     0.00000    -0.00000     0.01431    -0.01431
   -16.00156     0.08100    -0.08153     0.00000    -0.00000     0.01496    -0.01494
   -15.92556     0.05338    -0.05348     0.00000    -0.00000     0.01536    -0.01537
   -15.84856     0.04637    -0.04642     0.00000    -0.00000     0.01470    -0.01472
   -15.77256     0.04313    -0.04314     0.00000    -0.00000     0.01367    -0.01369
   -15.69656     0.04369    -0.04362     0.00000    -0.00000     0.01372    -0.01370
   -15.61956     0.04745    -0.04734     0.00000    -0.00000     0.01478    -0.01476
   -15.54356     0.04954    -0.04952     0.00000    -0.00000     0.01521    -0.01522
   -15.46756     0.04790    -0.04794     0.00000    -0.00000     0.01431    -0.01434
   -15.39056     0.04660    -0.04657     0.00000    -0.00000     0.01342    -0.01343
   -15.31456     0.04915    -0.04905     0.00000    -0.00000     0.01378    -0.01377
   -15.23856     0.05328    -0.05319     0.00000    -0.00000     0.01470    -0.01469
   -15.16156     0.05515    -0.05512     0.00000    -0.00000     0.01480    -0.01482
   -15.08556     0.05519    -0.05514     0.00000    -0.00000     0.01411    -0.01413
   -15.00856     0.05701    -0.05688     0.00000    -0.00000     0.01378    -0.01378
   -14.93256     0.06298    -0.06273     0.00000    -0.00000     0.01447    -0.01444
   -14.85656     0.07454    -0.07406     0.00000    -0.00000     0.01581    -0.01578
   -14.77956     0.09950    -0.09839     0.00000    -0.00000     0.01813    -0.01803
   -14.70356     0.15661    -0.15424     0.00000    -0.00000     0.02367    -0.02343
