   #Energy      xx(%)           yy(%)
  0.27319100E+02  0.97093863E+02  0.96976261E+02
  0.27402400E+02  0.97014855E+02  0.96941072E+02
  0.27485700E+02  0.96881244E+02  0.96917248E+02
  0.27569000E+02  0.96673136E+02  0.96898346E+02
  0.27652300E+02  0.96388995E+02  0.96867921E+02
  0.27735600E+02  0.96053772E+02  0.96797698E+02
  0.27818800E+02  0.95711877E+02  0.96677401E+02
  0.27902100E+02  0.95408753E+02  0.96520004E+02
  0.27985400E+02  0.95189510E+02  0.96363500E+02
  0.28068700E+02  0.95081607E+02  0.96247678E+02
  0.28152000E+02  0.95069383E+02  0.96199352E+02
  0.28235300E+02  0.95091680E+02  0.96214116E+02
  0.28318600E+02  0.95092885E+02  0.96276015E+02
  0.28401900E+02  0.95065902E+02  0.96360421E+02
  0.28485200E+02  0.95041599E+02  0.96459191E+02
  0.28568500E+02  0.95052996E+02  0.96570823E+02
  0.28651700E+02  0.95127162E+02  0.96692151E+02
  0.28735000E+02  0.95285280E+02  0.96816513E+02
  0.28818300E+02  0.95514397E+02  0.96919814E+02
  0.28901600E+02  0.95767190E+02  0.96991248E+02
  0.28984900E+02  0.96001260E+02  0.97026772E+02
  0.29068200E+02  0.96213959E+02  0.97032895E+02
  0.29151500E+02  0.96421843E+02  0.97016268E+02
  0.29234800E+02  0.96642416E+02  0.96988925E+02
  0.29318100E+02  0.96876213E+02  0.96964828E+02
  0.29401400E+02  0.97106026E+02  0.96959895E+02
  0.29484600E+02  0.97308531E+02  0.96974401E+02
  0.29567900E+02  0.97477564E+02  0.96997968E+02
  0.29651200E+02  0.97610512E+02  0.97023579E+02
  0.29734500E+02  0.97712073E+02  0.97049455E+02
  0.29817800E+02  0.97788996E+02  0.97072041E+02
  0.29901100E+02  0.97840906E+02  0.97084095E+02
  0.29984400E+02  0.97876566E+02  0.97085513E+02
  0.30067700E+02  0.97905042E+02  0.97076188E+02
  0.30151000E+02  0.97922655E+02  0.97052446E+02
  0.30234300E+02  0.97925658E+02  0.96999689E+02
  0.30317500E+02  0.97906495E+02  0.96890513E+02
  0.30400800E+02  0.97868574E+02  0.96722778E+02
  0.30484100E+02  0.97828377E+02  0.96528956E+02
  0.30567400E+02  0.97793390E+02  0.96379627E+02
  0.30650700E+02  0.97773081E+02  0.96342077E+02
  0.30734000E+02  0.97760234E+02  0.96417425E+02
  0.30817300E+02  0.97732595E+02  0.96545148E+02
  0.30900600E+02  0.97665624E+02  0.96641384E+02
  0.30983900E+02  0.97555113E+02  0.96644544E+02
  0.31067200E+02  0.97423155E+02  0.96492518E+02
  0.31150400E+02  0.97312736E+02  0.96138901E+02
  0.31233700E+02  0.97263501E+02  0.95590921E+02
  0.31317000E+02  0.97278120E+02  0.94989713E+02
  0.31400300E+02  0.97317815E+02  0.94576802E+02
  0.31483600E+02  0.97331573E+02  0.94544103E+02
  0.31566900E+02  0.97312926E+02  0.94892324E+02
  0.31650200E+02  0.97318408E+02  0.95459069E+02
  0.31733500E+02  0.97403968E+02  0.96047717E+02
  0.31816800E+02  0.97567537E+02  0.96519821E+02
  0.31900100E+02  0.97745122E+02  0.96837352E+02
  0.31983300E+02  0.97870698E+02  0.97010550E+02
  0.32066600E+02  0.97911705E+02  0.97078764E+02
  0.32149900E+02  0.97876632E+02  0.97077283E+02
  0.32233200E+02  0.97792157E+02  0.97034580E+02
  0.32316500E+02  0.97677659E+02  0.96979475E+02
  0.32399800E+02  0.97550721E+02  0.96939250E+02
  0.32483100E+02  0.97426957E+02  0.96925921E+02
  0.32566400E+02  0.97329955E+02  0.96930193E+02
  0.32649700E+02  0.97277597E+02  0.96924963E+02
  0.32733000E+02  0.97260524E+02  0.96886487E+02
  0.32816200E+02  0.97253464E+02  0.96820212E+02
  0.32899500E+02  0.97232690E+02  0.96749358E+02
  0.32982800E+02  0.97190041E+02  0.96705436E+02
  0.33066100E+02  0.97129136E+02  0.96704566E+02
