   #Energy      xx              yy   
  0.17165500E+02  0.12415643E+01  0.12415643E+01
  0.17227000E+02  0.12035963E+01  0.12035963E+01
  0.17288500E+02  0.12013549E+01  0.12013549E+01
  0.17350000E+02  0.12250335E+01  0.12250335E+01
  0.17411600E+02  0.12610457E+01  0.12610457E+01
  0.17473100E+02  0.13072567E+01  0.13072567E+01
  0.17534600E+02  0.13507988E+01  0.13507988E+01
  0.17596100E+02  0.13997111E+01  0.13997111E+01
  0.17657700E+02  0.15135872E+01  0.15135872E+01
  0.17719200E+02  0.17003577E+01  0.17003577E+01
  0.17780700E+02  0.18974016E+01  0.18974016E+01
  0.17842200E+02  0.20593021E+01  0.20593021E+01
  0.17903700E+02  0.21779029E+01  0.21779029E+01
  0.17965300E+02  0.22774784E+01  0.22774784E+01
  0.18026800E+02  0.24116140E+01  0.24116140E+01
  0.18088300E+02  0.25613118E+01  0.25613118E+01
  0.18149800E+02  0.27086126E+01  0.27086126E+01
  0.18211400E+02  0.28146659E+01  0.28146659E+01
  0.18272900E+02  0.28424029E+01  0.28424029E+01
  0.18334400E+02  0.28232019E+01  0.28232019E+01
  0.18395900E+02  0.27583655E+01  0.27583655E+01
  0.18457500E+02  0.26792349E+01  0.26792349E+01
  0.18519000E+02  0.26702807E+01  0.26702807E+01
  0.18580500E+02  0.27290835E+01  0.27290835E+01
  0.18642000E+02  0.28083170E+01  0.28083170E+01
  0.18703600E+02  0.28699695E+01  0.28699695E+01
  0.18765100E+02  0.29262137E+01  0.29262137E+01
  0.18826600E+02  0.29850370E+01  0.29850370E+01
  0.18888100E+02  0.30412943E+01  0.30412943E+01
  0.18949700E+02  0.31518476E+01  0.31518476E+01
  0.19011200E+02  0.32902669E+01  0.32902669E+01
  0.19072700E+02  0.33512477E+01  0.33512477E+01
  0.19134200E+02  0.33247952E+01  0.33247952E+01
  0.19195800E+02  0.33154195E+01  0.33154195E+01
  0.19257300E+02  0.33652443E+01  0.33652443E+01
  0.19318800E+02  0.34546476E+01  0.34546476E+01
  0.19380300E+02  0.35011999E+01  0.35011999E+01
  0.19441900E+02  0.34345791E+01  0.34345791E+01
  0.19503400E+02  0.32874130E+01  0.32874130E+01
  0.19564900E+02  0.31387780E+01  0.31387780E+01
  0.19626400E+02  0.30441002E+01  0.30441002E+01
  0.19688000E+02  0.30048619E+01  0.30048619E+01
  0.19749500E+02  0.29705474E+01  0.29705474E+01
  0.19811000E+02  0.28855881E+01  0.28855881E+01
  0.19872500E+02  0.27096992E+01  0.27096992E+01
  0.19934100E+02  0.25331601E+01  0.25331601E+01
  0.19995600E+02  0.24196624E+01  0.24196624E+01
  0.20057100E+02  0.23609357E+01  0.23609357E+01
  0.20118600E+02  0.23345034E+01  0.23345034E+01
  0.20180200E+02  0.23172946E+01  0.23172946E+01
  0.20241700E+02  0.22974827E+01  0.22974827E+01
  0.20303200E+02  0.22665618E+01  0.22665618E+01
  0.20364700E+02  0.21923155E+01  0.21923155E+01
  0.20426300E+02  0.20927716E+01  0.20927716E+01
  0.20487800E+02  0.20179649E+01  0.20179649E+01
  0.20549300E+02  0.19863231E+01  0.19863231E+01
  0.20610800E+02  0.20007257E+01  0.20007257E+01
  0.20672400E+02  0.20358145E+01  0.20358145E+01
  0.20733900E+02  0.20719010E+01  0.20719010E+01
  0.20795400E+02  0.21190420E+01  0.21190420E+01
  0.20856900E+02  0.21717957E+01  0.21717957E+01
  0.20918500E+02  0.22226461E+01  0.22226461E+01
  0.20980000E+02  0.22556844E+01  0.22556844E+01
  0.21041500E+02  0.22280963E+01  0.22280963E+01
  0.21103000E+02  0.21590462E+01  0.21590462E+01
  0.21164600E+02  0.20951854E+01  0.20951854E+01
  0.21226100E+02  0.20565257E+01  0.20565257E+01
  0.21287600E+02  0.20516931E+01  0.20516931E+01
  0.21349100E+02  0.20459391E+01  0.20459391E+01
  0.21410700E+02  0.20192817E+01  0.20192817E+01
  0.21472200E+02  0.19894905E+01  0.19894905E+01
  0.21533700E+02  0.19577627E+01  0.19577627E+01
  0.21595200E+02  0.19223458E+01  0.19223458E+01
  0.21656800E+02  0.18830447E+01  0.18830447E+01
  0.21718300E+02  0.18342183E+01  0.18342183E+01
  0.21779800E+02  0.18082180E+01  0.18082180E+01
  0.21841300E+02  0.18207051E+01  0.18207051E+01
  0.21902900E+02  0.18480463E+01  0.18480463E+01
  0.21964400E+02  0.18792153E+01  0.18792153E+01
  0.22025900E+02  0.19468617E+01  0.19468617E+01
  0.22087400E+02  0.20656856E+01  0.20656856E+01
  0.22149000E+02  0.21787348E+01  0.21787348E+01
  0.22210500E+02  0.22728906E+01  0.22728906E+01
  0.22272000E+02  0.23928029E+01  0.23928029E+01
  0.22333500E+02  0.25526978E+01  0.25526978E+01
  0.22395100E+02  0.27406593E+01  0.27406593E+01
  0.22456600E+02  0.29474917E+01  0.29474917E+01
  0.22518100E+02  0.31083066E+01  0.31083066E+01
  0.22579600E+02  0.32252613E+01  0.32252613E+01
  0.22641200E+02  0.33069323E+01  0.33069323E+01
  0.22702700E+02  0.33272407E+01  0.33272407E+01
  0.22764200E+02  0.32737931E+01  0.32737931E+01
  0.22825700E+02  0.31068706E+01  0.31068706E+01
  0.22887300E+02  0.28668229E+01  0.28668229E+01
  0.22948800E+02  0.26326281E+01  0.26326281E+01
  0.23010300E+02  0.24399064E+01  0.24399064E+01
  0.23071800E+02  0.23344837E+01  0.23344837E+01
  0.23133400E+02  0.23299205E+01  0.23299205E+01
  0.23194900E+02  0.23708287E+01  0.23708287E+01
  0.23256400E+02  0.23802961E+01  0.23802961E+01
  0.23317900E+02  0.23545067E+01  0.23545067E+01
  0.23379500E+02  0.23281818E+01  0.23281818E+01
  0.23441000E+02  0.23124267E+01  0.23124267E+01
  0.23502500E+02  0.23343789E+01  0.23343789E+01
  0.23564000E+02  0.24019195E+01  0.24019195E+01
  0.23625600E+02  0.24543930E+01  0.24543930E+01
  0.23687100E+02  0.24710742E+01  0.24710742E+01
  0.23748600E+02  0.24880000E+01  0.24880000E+01
  0.23810100E+02  0.25224145E+01  0.25224145E+01
  0.23871700E+02  0.25475722E+01  0.25475722E+01
  0.23933200E+02  0.25525948E+01  0.25525948E+01
  0.23994700E+02  0.25317380E+01  0.25317380E+01
  0.24056200E+02  0.25010624E+01  0.25010624E+01
  0.24117800E+02  0.24892250E+01  0.24892250E+01
  0.24179300E+02  0.24971290E+01  0.24971290E+01
  0.24240800E+02  0.25087468E+01  0.25087468E+01
  0.24302300E+02  0.24795222E+01  0.24795222E+01
  0.24363900E+02  0.23828854E+01  0.23828854E+01
  0.24425400E+02  0.22582036E+01  0.22582036E+01
