     #Energy   up_In_all   dw_In_all   up_Fe_all   dw_Fe_all    up_O_all    dw_O_all
   -16.58179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.56479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.54879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.53179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.51479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.49779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.48079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.46479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.44779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.43079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.41379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.39779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.38079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.36379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.34679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.33079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.31379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.29679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.27979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.26379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.24679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.22979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.21279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.19579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.17979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.16279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.14579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.12879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.11279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
